Day of Simulation,T_atm_pole,T_atm_eq
57,3.253806628914553,14.107382766512071
58,3.351432291055338,14.155853131829039
59,3.4465950152488922,14.203092028172392
60,3.539266805686237,14.249085457637639
61,3.629420404675838,14.293819791379015
62,3.7170293007206254,14.337281773647984
63,3.802067736373936,14.379458525721216
64,3.8845107158719916,14.420337549716818
65,3.9643340125406907,14.459906732297743
66,4.041514175974489,14.498154348261217
67,4.1160285389852636,14.535069064013179
68,4.187855224319089,14.570639940926668
69,4.256973151138949,14.604856438583173
70,4.3233620412714195,14.637708417895983
71,4.387002425215553,14.669186144114626
72,4.447875647912104,14.699280289709478
73,4.505963874271425,14.727981937135713
74,4.561250094458384,14.755282581475768
75,4.613718128932755,14.781174132959528
76,4.663352633243556,14.805648919361504
77,4.710139102575946,14.828699688274273
78,4.754063876049316,14.850319609257536
79,4.795114140765301,14.870502275862101
80,4.833277935604514,14.889241707528285
81,4.8685441547708885,14.906532351358047
82,4.900902551082567,14.922369083760461
83,4.930343739008356,14.936747211969932
84,4.956859197448874,14.949662475436766
85,4.980441272261514,14.96111104708966
86,5.001083178528561,14.97108953446976
87,5.01877900256768,14.979594980735895
88,5.0335237036842955,14.986624865540778
89,5.045313115665231,14.99217710577782
90,5.054143948013273,14.996250056198416
91,5.0600137869221955,14.998842509899454
92,5.0629210959920385,14.999953698680951
93,5.062865216684365,14.99958329327369
94,5.059846368517408,14.997731403436786
95,5.053865649001022,14.994398577925168
96,5.044925033311455,14.98958580432696
97,5.033027373706086,14.98329450877085
98,5.018176398678209,14.975526555503489
99,5.000376711852225,14.966284246337072
100,4.979633790619479,14.955570319967274
101,4.955953984515186,14.943387951161704
102,4.929344513336935,14.929740749819153
103,4.899813465005302,14.914632759899911
104,4.867369793167229,14.89806845822745
105,4.832023314542861,14.880052753161841
106,4.793784706016641,14.860590983145308
107,4.752665501473518,14.83968891512032
108,4.708678088381214,14.817352742820745
109,4.661835704119539,14.793589084936482
110,4.612152432057881,14.768404983152228
111,4.559643197381989,14.741807900060858
112,4.504323762671331,14.713805716952104
113,4.446210723228287,14.684406731477157
114,4.385321502160616,14.653619655189896
115,4.321674345218606,14.621453610965467
116,4.255288315388457,14.587918130296968
117,4.186183287243533,14.55302315047108
118,4.1143799410550645,14.516779011623424
119,4.039899756664158,14.479196453674545
120,3.962765007116849,14.440286613147466
121,3.8829987520641254,14.400061019867678
122,3.800624830928835,14.358531593546608
123,3.715667855841581,14.315710640249558
124,3.628153204347585,14.271610848749134
125,3.538107011886798,14.226245286765316
126,3.4455561640493837,14.179627397093185
127,3.3505282886089587,14.131770993619547
128,3.253051747335873,14.08269025722958
129,3.15315562759301,14.032399731604723
130,3.0508697337165698,13.98091431891308
131,2.946224578184406,13.928249275393572
132,2.8392513725745165,13.874420206835204
133,2.7299820183163868,13.819443063952715
134,2.618449097237892,13.763334137660042
135,2.504685861910617,13.70611005424298
136,2.3887262257963817,13.647787770432437
137,2.270604753197976,13.58838456837981
138,2.150356649016985,13.52791805053589
139,2.0280177483218313,13.466406134434887
140,1.9036245057290655,13.40386704738508
141,1.7772139846010886,13.340319321067668
142,1.6488238460634554,13.275781786045426
143,1.5184923378450896,13.210273566182819
144,1.3862582829446453,13.143814072979172
145,1.2521610681264275,13.07642299981664
146,1.1162406322492253,13.008120316124613
147,0.978537454431582,12.938926261462367
148,0.8390925420569441,12.868861339521622
149,0.6979474186223129,12.797946312050883
150,0.5551441114339071,12.726202192703255
151,0.41072513915358,12.653650240809666
152,0.2647334991996242,12.580311955079264
153,0.11721265500570328,12.506209067228879
154,-0.031793476858305095,12.43136353554345
155,-0.18224053969971854,12.35579753836932
156,-0.3340837498469188,12.279533467542294
157,-0.48727790991970743,12.202593921752475
158,-0.6417774222222663,12.125001699847772
159,-0.7975363022547455,12.046779794078107
160,-0.9545081923394423,11.967951383282333
161,-1.1126463753576117,11.888539826019825
162,-1.2719037885927342,11.808568653648837
163,-1.4322330376762265,11.728061563353668
164,-1.5935864106314082,11.647042411122651
165,-1.7559158920115938,11.565535204679135
166,-1.9191731771281064,11.483564096367454
167,-2.083309686364006,11.40115337599608
168,-2.2482765795692443,11.318327463640035
169,-2.4140247705331106,11.235110902404678
